Post,Post ID,Lead
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Want to review a hyped product  Anua serum Waste of money. Zero results Writing just to save people hard earned money You guys can also write in comments tried and tested hyped skincare products with no results We can save eachother money ,:r7rj:,No
"Hello everyone Im looking for a studio manager for my makeup studio as my current one is leaving for abroad,interested candidates please send me a DM with your CV attached and serious candidates only. FEMALE ONLY Location-DHA Phase 8",:r7t1:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
order now at Seemalite  instagram.com/seemalite2005  free mini gift item to Superwoman members. just mention u ordered from Superwoman before placing your order to get a free gift item  Worldwide delivery available Valvet fabric  Till Embd Grown  Kattan silk (inner+trouzer) S.19chest M 21 L.22 Grown Lenght...50 3p.... (Grown+inner+trouzer),:r81f:,No
"order now at Seemalite  Fancy China kids ponies  Available in black Colour 
  Each prize just *65 Only  12 pcs Box prize *600* Only ",:r82b:,No
order at Seemalite  beautiful long embroidered suit best for weddings,:r84n:,No
order now at Seemalite   Worldwide delivery available For single suit delivery price will be $75 usd with shipping  𝐖𝐞𝐝𝐝𝐢𝐧𝐠  𝐂𝐨𝐥𝐥𝐞𝐜𝐭𝐢𝐨𝐧   New Arrival For Ladies Stuff 𝐂𝐡𝐢𝐟𝐟𝐨𝐧 Shirt With Sharara Heavy Tila Thread Sequence And Adda Work Embroidered Sharara In Same Stuff Embroidered Dupatta In 𝐂𝐡𝐢𝐟𝐟𝐨𝐧 Stuff Size (Small.Medium.Large) Available,:r85k:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"order at Seemalite  50 rs each for bulk Fancy China marble breslate 
  Available in Twelve colours 
  12 pcs pack prize just *450* Only ",:r87m:,No
"Position: Graphic Designer  Experience: 2+ Years  Location: Karachi and Islamabad About Us: We are a communication design agency focused on innovative technologies such as the metaverse, immersive learning, Ed Tech and digital properties. We are looking for a talented Graphic Designer who can bring creativity and originality to our visual content while utilizing modern AI tools to enhance productivity. Role Overview: We are seeking a creative and skilled Graphic Designer with at least 2 years of professional experience. The ideal candidate has a passion for design, a sharp eye for detail, and a solid understanding of using AI tools effectively without losing creative originality. If you thrive in a fast-paced, future-focused environment and are excited about creating impactful visual content, we'd love to hear from you. Key Responsibilities: Develop creative visuals and design assets for our brand, ensuring originality and high quality. Utilize AI design tools to streamline the creative process and produce innovative graphics while maintaining a human touch. Create visual content for social media, digital campaigns, websites, and marketing collateral. Collaborate with the marketing and content teams to create cohesive and impactful visual narratives. Maintain and ensure brand consistency across all design projects. Requirements: 2+ years of proven experience as a Graphic Designer. Proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign, etc.). Experience working with AI tools for design (e.g., DALL-E, Midjourney, Adobe Firefly, etc.) and the ability to leverage them smartly. Strong understanding of visual storytelling and the ability to maintain originality in your work. Creative mindset with excellent communication and problem-solving skills. Ability to work in a collaborative environment and manage multiple projects simultaneously. Preferred Skills: Experience in working with emerging digital trends such as metaverse, or similar technology. Basic knowledge of motion graphics and animation tools (e.g., After Effects). Benefits: Opportunity to work on cutting-edge technology projects. A creative, collaborative and inclusive work culture. Share your resume at : careers@merakicomm.pk #merakicommunications #hiring #graphicdesigner #jobalertpakistan",:r8b2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Where can I find the best quality extra sleeves online please? Thank you,:r8tp:,No
"Hi girls I have a lot acne marks and they are either brown or red and very much visible on my face since i am fair skinned its looking even worse  Please share any good laser treatments to remove these marks, and kindly don't suggest PRP n chemical peel since i got 2 sessions and it literally nothing on my face. I need tried and tested doctors and treatments for karachi only.",:r91n:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Full deal with accessories bag in just 1500 Cod available  Free home delivery  #fbreelsfypシ゚viralfbreelsfypシ゚viral #fbreelsfypシ゚viralシ  #fb,:r9k1:,No
"Order 
A.W 41 Undergarments  Galaxy DORENA Full Coverage minimizer bra  Size: 32 to 42 Cup: B C D and Dd(E)",:r9kv:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Now available in all sizes now at https://www.instagram.com/wajayesha.official...,:r9n4:,No
Khaddar embriodred & Hand Embroidered now at https://www.instagram.com/wajayesha.official...,:r9no:,No
"Model Hunt for a eastern brand shoot in karachi  Looking for a confident model for a eastern brand shoot in Karachi. it would be a collaborative shoot.  Drop your Instagram profiles.  not looking for a newbie Pleaseee  Someone who would be interested in building their portfolio , has professional experience in photoshoots.  -unpaid but you will get PR (Skincare, Makeup products) in return (worth 5k)  - Pls reach out only if availble , it will be either sunday or monday",:r9ov:,No
"Hi! I’m looking for a stunning indoor venue for a small nikkah event with 100-150 guests. Our budget is around 2.5 lacs, and we want a place that offers beautiful and elegant décor along with food and the venue. I’d love suggestions for venues like marquees or ballrooms that you’ve personally had a good experience with.",:r9qm:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Toystory fam session 2  Exclusive stock  With our toys  As the shipment arrives,:ra4v:,No
"Aoa, how are you all superwomen  I want to gather some information. Actually i want to teach in government institute it can be a school or govt degree college   The scenario is i did my masters in English literature in year 2017 , then i got married, in between i tried to do b.ed but couldn't continued so left. There were some clashes so my marriage ended but at the same time it blessed me with a beautiful girl. she has turned 3 and has become sensible Alhamdulilah, i want to keep myself busy, i am 28 years old single mommy and i want to pursue my carrier but i have no clue what to do, should i opt for m.phill or directly should apply for a job. My aim is to get a job in govt school or College in my area but samaj ni aa raha from where to start, i think i have forgotten every thing related to books, i want to take a fresh start with full of energy and enthusiasm but where should i apply my all efforts my all energies. And most importantly what are the requirements to be a govt teacher. Kindly help me out. Guide me in right direction 
. Thank you ",:ra5s:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
https://www.instagram.com/bling_.store?igsh=MXIxMTQ4aDY5bnJwYg==,:ra7h:,No
Try our ORGANIC FRESH HAND MADE SKIN HAIR PRODUCTS made from PURE ORGANIC HIGH QUALITY INGREDIENTS FOR BEAUTIFUL SOFT HEALTHY GLOWY SKIN HAIR ,:ra85:,No
Try our ORGANIC FRESH HAND MADE SKIN HAIR PRODUCTS made from PURE ORGANIC HIGH QUALITY INGREDIENTS FOR BEAUTIFUL SOFT HEALTHY GLOWY SKIN HAIR ,:ra9n:,No
Try our ORGANIC FRESH HAND MADE SKIN HAIR PRODUCTS made from PURE ORGANIC HIGH QUALITY INGREDIENTS FOR BEAUTIFUL SOFT HEALTHY GLOWY SKIN HAIR ,:raab:,No
Try our ORGANIC FRESH HAND MADE SKIN HAIR PRODUCTS made from PURE ORGANIC HIGH QUALITY INGREDIENTS FOR BEAUTIFUL SOFT HEALTHY GLOWY SKIN HAIR ,:raav:,No
I want a hair cut please suggest some good saloons,:abvc:,Yes
"My wedding will be in next month and I want to book bridal makeup , so I need some suggestions regarding saloons ",:bhgd:,Yes
"I want body massage , so suggest me some hygienic saloons  ",:huyt:,Yes
I want hydra facial with eyebrows and upperlips,:fvgh:,Yes
I want to go on my friend's  engagemebt and want to know the best saloon service for party makeup,:klts:,Yes
I want to dye my hairs is liye please mujhy achy brand ka hair color or saloon suggest krdien,:erty:,Yes
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Ksi ko pta hai k ye cape kaha se milegi reasonable price me??,:rf9:,No
I'm looking for a good psychologist near Johar or Gulshan. Can you guys suggest someone you have personally had a good experience with?,:rhf:,No
"_Job Title: Telesales Representative_ female only _Location: Shahrah-e-Faisal, Karachi (Near Baloch Pull)_ _Job Type: In-House, Full-time_ _About Us:_ Our company specializes in providing innovative solar energy solutions. We're seeking a highly motivated Telesales Representative to join our dynamic team! _Job Responsibilities:_ - Generate leads and follow up on potential customers via phone calls and emails - Present our solar energy solutions to customers and address their queries - Meet or exceed monthly sales targets - Collaborate with the sales team to achieve business objectives - Stay up-to-date with industry trends and competitor activity _Requirements:_ - Bachelor's degree (fresh graduates are encouraged to apply) - Excellent communication and interpersonal skills - Ability to work in a fast-paced environment and meet sales targets - Strong negotiation and persuasion skills - Familiarity with CRM software is a plus _What We Offer:_ - Competitive salary package - Opportunity to work with a leading solar energy company - Professional growth and development opportunities - Dynamic and supportive work environment _How to Apply:_ Interested candidates, please share your CV or contact us on WhatsApp at 0336-0022018.",:rj0:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
I�m attending a wedding soon. Which salon offers the best guest makeup?,:xzsa:,Yes
Looking for deep tissue massage services. Any suggestions?,:tyui:,Yes
Any salons offering relaxing head massages?,:jkli:,Yes
Suggest a spa offering full-body massage with aromatherapy,:gfre:,Yes
I need stress relief massages. Suggest some salons,:vbfd:,Yes
Looking for a hydrafacial with eyebrow threading. Any ideas?,:uytr:,Yes
Which salons offer premium hydrafacials?,:bhyt:,Yes
What�s the best salon for facials and upper lip threading?,:lkjh:,Yes
I am looking for micro bloggers ( more than 30k followers) who are willing to do collaboration in exchange of products if you are interested Kindly inbox me your account link and I will get back to you from my business account  Thankyou,:r232:,No
Our watches are getting sold our real quick as the quality and the prices are just amazing! Checkout for yourself Insta: https://www.instagram.com/armario775/profilecard/?igsh=MTJwYmh1aTRob2s2MA==,:r23t:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Hey everyone,  I am recently married and i am tall. My height is 5.9. Whenever i buy readymade clothes, ek wash k baad trousers mujhe chote hojate  I am looking for some reasonable and affordable brands or shops where i can buy medium size 3pc casual dresses jo wash k baad shrink na krein ..",:r290:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Batch-3 is Live now! Signup here: https://bit.ly/4eMxBXE,:r2dj:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Pre order now https://wa.me/message/IOLHANRQOLLJK1 All details on the pictures,:fe2r:,No
Asalm u alikum main gher se kuch kam start karna charahi hn per samj nhi araha kese start karo kuch  idea de muj craft se related har kaam ata ha muj in ma se kiakam  karna chea jis k ziyada order aee Floral jewelry  Resin jewelry  or resin coaster  Hand painted wall hang  Painted old shoes n.bags,:r2mi:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Dear khwateen ... Please share from where in Lahore I can get this kind of table in rectangle shape and not too expensive It's very urgent...,:r30s:,No
"Hello Ladies,  I want to get in touch with someone who can connect me with a wholesale supplier of Leather goods.  Only serious comments please",:r31p:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Where can I find these in karachi? Affordable and durable,:r352:,No
I need genuine reviews for Organic Lab vitamin c serum. Is it as good as their glass skin serum?,:r35u:,No
"Hello to all.. I used to work in an administration dept and now looking for online job only, lost job due to some issues.... If anyone wants any assistant, secretary work please comment. I can do any kind of assignment done to me. Please any leads would be highly appreciated ",:r38i:,No
Anyone knows is type ki cape kaha se milegi??,:r3a8:,No
